id,地址
10173,襄陽路
10163,文化路
10163,和平西路
10163,南寧路
10163,中華路
10163,寶慶路
10163,博愛路
10163,襄陽路
10163,公園路
10163,公園路與常德街
10163,貴陽街
10163,中華路
10163,南寧路
10163,和平西路
10163,文化路
10163,四川路
10163,中央路
10163,裕民路
10163,學府路
10163,青雲路
16288,鄧公路
17914,興南路
10329,安康路
16485,泰林路
10195,中華路
10195,中央路
17994,瑪鍊路
17994,基金一路
17994,麥金路
17994,成功路
10329,安康路
10329,環河路
10329,力行路
10329,中央路
10329,中正路
18041,安和路
10164,國慶路
10164,信義路
16123,德光路
10143,木新路
10753,景文街
5415,東湖路
15181,光復北路
10453,中興路
5415,康寧街
5415,明峰街
5415,中興路
5415,大同路
5416,大同路
5416,忠孝東路
5416,茄苳路
5416,新台五路
10162,南寧路
10162,中華路
10162,寶慶路
10162,博愛路
10162,重慶南路
10162,襄陽路
10162,公園路
10162,公園路與常德街
16620,水碓路
16620,登林路
16620,自強路
10325,安康路
15181,金山南路
15717,安康路
16113,中華路
16113,南寧路
16113,和平西路
16113,長江路
16113,新海路
16113,英士路
16113,智樂街
10424,民權西路
10424,五權路
10453,工商路
16464,民生路
10772,忠孝街
10492,工商路
10753,木柵路
5416,新台五路
5416,大同路
5416,南港路
10162,文化路
10162,政府西側門外(新府路
10162,中山路
10453,成功路
10772,中華路
10491,重新路
10453,成功路
10491,成泰路
10491,寶慶路
16620,水碓二路
16620,自強路
10196,三樹路
10196,愛國西路
10162,中山路
10162,四川路
10162,忠孝路
10162,重慶路
10162,和平路
10162,信義路
10162,青雲路
10164,文化路
17868,民義路
5415,大同路
5415,中興路
10173,公園路
10173,公園路與常德街
10173,公園路
10173,南昌路
5416,新台五路
17700,中央路
10173,永利路
10173,永元路
10173,得和路
10173,成功路
10173,秀朗路
10173,成功路
10173,景平路
10173,興南路
10173,南山路
10173,南三路
10173,竹林路
10173,中和路
10173,連城路
10163,青雲路
10163,石門路
10164,青雲路
10164,明德路
10164,立德路
5416,新台五路
5416,茄苳路
5416,忠孝東路
5416,大同路
10162,石門路
17518,新樹路
16479,新樹路
10164,青雲路
10164,信義路
10164,和平路
10164,重慶路
10164,忠孝路
10164,四川路
