,routeId,realSequence
213,16461,60
214,16461,60
215,10784,99
216,10784,99
217,17479,99
218,17479,99
219,10424,112
220,17300,160
221,10149,80
222,5415,42
223,15224,9
224,15224,9
225,10475,53
226,10474,52
227,10491,58
228,10492,56
229,10511,36
230,10453,120
231,10163,99
232,10164,112
233,16685,32
234,16113,90
235,10753,9
236,17483,29
237,17482,6
238,16123,115
239,5416,15
240,10151,75
241,10148,80
242,16517,150
243,16521,9
244,16521,9
245,10195,74
246,10196,130
247,17515,38
248,16511,20
249,16511,20
250,16511,20
251,16637,4
252,16637,4
253,16644,99
254,16644,99
255,16692,76
256,16693,30
257,16694,100
258,17719,2
259,16642,46
260,16642,46
261,16642,46
262,16642,46
263,16681,10
264,16681,10
265,16681,10
266,16681,10
267,16641,8
268,17648,8
269,17501,14
270,16753,120
271,16755,120
272,16739,8
273,16739,8
274,16740,96
275,17500,18
276,17500,18
277,16682,34
278,16682,34
279,17718,5
280,17718,5
281,16689,70
282,16757,50
283,16719,50
284,16758,50
285,16691,104
286,16691,104
287,16576,5
288,16573,18
289,16594,70
290,16479,170
291,16595,40
292,17524,60
293,17524,60
294,17524,60
295,17524,60
296,17523,70
297,17523,70
298,17523,70
299,17523,70
300,16547,38
301,16547,38
302,16670,68
303,16425,54
304,16189,38
305,17527,6
306,16500,63
307,16500,63
308,16500,63
309,16499,56
310,16731,65
311,16258,40
312,16584,15
313,16695,6
314,17525,56
315,17525,56
316,16551,42
317,16551,42
318,16554,23
319,16554,23
320,16548,18
321,16548,18
322,16485,25
323,16269,11
324,16497,28
325,16270,14
326,16427,47
327,16656,3
328,16474,54
329,17518,15
330,17518,15
331,17518,15
332,16734,8
333,16734,8
334,16429,36
335,16429,36
336,16215,23
337,16215,23
338,16393,126
339,17696,126
340,16666,48
341,16552,16
342,16552,16
343,16591,84
344,16591,84
345,16591,84
346,16530,1
347,16518,30
348,16518,30
349,16528,75
350,16528,75
351,16528,75
352,16529,10
353,17528,30
354,17528,30
355,17528,30
356,17528,30
357,17528,30
358,17528,30
359,17528,30
360,17528,30
361,16675,37
362,16675,37
363,16675,37
364,16675,37
365,10143,156
366,17466,78
367,16265,94
368,10731,44
369,10731,44
370,16407,99
371,16466,124
372,16466,124
373,16612,71
374,16405,99
375,16274,32
376,16620,8
377,16667,2
378,16668,144
379,16501,6
380,16490,73
381,16593,114
382,16748,94
383,16610,64
384,16489,69
385,16611,119
386,16669,70
387,16669,70
388,16669,70
389,16669,70
390,16592,48
391,16519,20
392,16582,7
393,16420,40
394,16420,40
395,16613,97
396,16686,58
397,16686,58
398,16752,99
399,16491,51
400,16760,99
401,16775,99
402,16775,99
403,16777,99
404,16761,99
405,16763,99
406,16764,99
407,16762,99
408,16774,99
409,16767,99
410,16768,99
411,16768,99
412,16772,16
413,16772,16
414,16792,99
415,16793,99
416,16794,99
417,16796,99
418,16493,35
419,16493,35
420,16797,99
421,16798,99
422,16799,99
423,16800,99
424,16800,99
425,16802,99
426,16802,99
427,16786,99
428,16786,99
429,16787,99
430,16782,99
431,16785,99
432,16783,99
433,16784,99
434,16778,99
435,16778,99
436,16492,49
437,16492,49
438,16418,73
439,16590,12
440,16590,12
441,16788,99
442,16788,99
443,16789,99
444,16789,99
445,17509,99
446,16781,99
447,16780,99
448,16790,99
449,16790,99
450,17694,99
451,17694,99
452,16815,99
453,16816,99
454,16817,99
455,16819,99
456,16804,99
457,16805,99
458,16806,99
459,16807,99
460,16834,99
461,16823,99
462,16824,99
463,16824,99
464,16824,99
465,16825,99
466,16826,99
467,16827,99
468,16828,99
469,16830,99
470,16831,99
471,16808,99
472,16810,99
473,16812,99
474,16813,99
475,16481,164
476,16814,99
477,16835,99
478,16835,99
479,16837,99
480,16243,39
481,17663,99
482,17663,99
483,17664,99
484,17664,99
485,17665,99
486,17665,99
487,16841,99
488,17559,99
489,16843,99
490,16843,99
491,16845,53
492,16845,53
493,16838,99
494,16839,99
495,16849,20
496,16849,20
497,16851,38
498,16851,38
499,16855,70
500,16855,70
501,16855,70
502,16855,70
503,16857,99
504,16857,99
505,16859,99
506,16859,99
507,16861,99
508,16861,99
509,16863,99
510,16863,99
511,16867,99
512,16867,99
513,16905,99
514,16906,99
515,16907,99
516,16908,99
517,16909,99
518,16910,99
519,16912,99
520,16914,99
521,16914,99
522,16919,99
523,16920,99
524,16920,99
525,16922,99
526,16923,99
527,16924,99
528,16924,99
529,16926,99
530,17714,99
531,17714,99
532,17624,99
533,16930,16
534,16930,16
535,16930,16
536,16937,99
537,16937,99
538,16940,99
539,16939,99
540,16941,99
541,16941,99
542,16942,99
543,16943,99
544,16944,99
545,16944,99
546,16946,99
547,16946,99
548,16948,99
549,16948,99
550,16950,99
551,16950,99
552,16952,99
553,16952,99
554,16954,99
555,16954,99
556,16956,99
557,16956,99
558,16958,99
559,16958,99
560,17565,99
561,17565,99
562,17567,99
563,16960,99
564,16960,99
565,16962,99
566,16962,99
567,16963,99
568,16963,99
569,16964,99
570,16964,99
571,16966,99
572,16966,99
573,16967,99
574,16968,2
575,16969,99
576,16970,99
577,16971,99
578,16971,99
579,16971,99
580,16973,99
581,16974,99
582,16988,99
583,16988,99
584,16988,99
585,16988,99
586,16990,99
587,16993,99
588,16993,99
589,16995,99
590,16995,99
591,16995,99
592,16997,35
593,16999,99
594,17000,99
595,17001,16
596,17003,99
597,17003,99
598,17005,99
599,17005,99
600,17007,13
601,17007,13
602,17007,13
603,17009,10
604,17568,99
605,17568,99
606,17011,99
607,17011,99
608,17013,99
609,17013,99
610,17015,7
611,17016,12
612,17017,16
613,17017,16
614,17017,16
615,17017,16
616,17424,99
617,17424,99
618,17432,99
619,17432,99
620,16677,99
621,16677,99
622,16677,99
623,16677,99
624,16677,99
625,16677,99
626,16677,99
627,16677,99
628,16677,99
629,16677,99
630,16677,99
631,16678,99
632,16678,99
633,16678,99
634,16678,99
635,16678,99
636,16678,99
637,16976,99
638,16976,99
639,16975,99
640,16975,99
641,16975,99
642,16676,99
643,16676,99
644,16676,99
645,16676,99
646,16676,99
647,16676,99
648,16676,99
649,16676,99
650,16676,99
651,16676,99
652,16679,99
653,16679,99
654,16679,99
655,16679,99
656,16980,99
657,16981,99
658,16982,99
659,16983,99
660,17546,99
661,17546,99
662,16869,99
663,16869,99
664,16871,99
665,16871,99
666,16871,99
667,16873,99
668,16873,99
669,17631,99
670,16876,99
671,16877,99
672,16878,99
673,16878,99
674,16887,99
675,16887,99
676,17682,99
677,17682,99
678,17683,99
679,17672,42
680,17672,42
681,16890,99
682,16891,99
683,16892,99
684,16893,99
685,16894,99
686,16895,99
687,16896,99
688,16903,99
689,16903,99
690,16903,99
691,16985,99
692,16986,99
693,16987,99
694,17391,99
695,17392,99
696,17393,99
697,17394,99
698,17395,99
699,16979,99
700,16955,99
701,17845,44
702,17845,44
703,17789,24
704,16972,99
705,17865,21
706,17865,21
707,17836,99
708,17837,99
709,17839,99
710,17840,99
711,17841,99
712,17842,99
713,17843,99
714,17868,26
715,16844,99
716,16844,99
717,16844,99
718,17576,90
719,17576,90
720,17576,90
721,17576,90
722,16526,1
723,16674,80
724,16674,80
725,16674,80
726,16674,80
727,16674,80
728,16674,80
729,16578,6
730,16578,6
731,16579,8
732,16535,3
733,16538,3
734,16538,3
735,17310,6
736,17310,6
737,16296,120
738,16296,120
739,16294,92
740,16294,92
741,16471,12
742,16471,12
743,16471,12
744,16544,81
745,16544,81
746,16663,56
747,16586,54
748,17692,3
749,17692,3
750,16571,6
751,16223,12
752,16623,13
753,16840,99
754,16840,99
755,16865,99
756,16865,99
757,17802,21
758,17832,99
759,17832,99
760,17552,99
761,17552,99
762,17553,99
763,17425,99
