id,地址,總班次
10732,景平路,46
17548,安康路,72
17548,安康路,72
17548,安康路,72
17548,安康路,72
17939,北宜路,2
17700,佳園路,99
17700,柑園街,99
10196,連城路,130
16282,文化路,63
16282,新生街,63
16282,新民街,63
16282,中正路,63
16282,濱海路,63
16282,沙崙路,63
10116,景安路,6
10116,南山路,6
10116,興南路,6
10116,華新街,6
10116,忠孝街,6
10116,景新街,6
10116,中正路,6
10731,基隆路,44
10731,基隆路,44
15181,安康路,99
10731,興隆路,44
10731,興隆路,44
10143,安康路,156
16282,新民街,63
10143,安康路,156
10143, 北新路,156
10143,北新路,156
10143,光明街,156
10143,北新路,156
10143,寶橋路,156
10143,木新路,156
17700,三樹路,99
10491,重新路,58
17700,佳園路,99
16282,新民街,63
16282,新生街,63
16282,文化路,63
16282,中山路,63
16282,中正東路,63
16282,中山路,63
10732,中正路,46
10732,中正路,46
10732,永貞路,46
10732,永貞路,46
10732,竹林路,46
10732,竹林路,46
15181,塔悠路,99
15181,南京東路,99
15181,南京東路四段+寧安街,99
15181,南京東路,99
15181,松江路,99
15181,重慶南路,99
17518,民安東路,15
17518,民安東路,15
17518,民安東路,15
17700,柑園街,99
17700,自由街,99
17700,中興路,99
17700,中山路,99
17700,亞洲路,99
17700,中華路,99
10325,安康路,80
15181,愛國東路,99
10325,安康路,80
15181,新生北路,99
15181,南京東路,99
10325,中正路,80
10325,安康路,80
10325,玫瑰路,80
15181,南京東路,99
15181,南京東路四段+寧安街,99
15181,民生東路,99
15181,塔悠路,99
10325,中華路,80
10325,三民路,80
10325,民族路,80
15181,南京東路,99
15181,新生北路,99
15181,金山南路,99
15181,愛國東路,99
15181,重慶南路,99
15181,永和路,99
15181,中正路,99
10325,安康路,80
15181,中正路,99
15181,景新街,99
15181,安和路,99
10753,翠谷街,9
10753,北深路,9
16479,民安東路,170
15181,安康路,99
15181,安和路,99
10325,敦化北路,80
10325,民族路,80
16486,萬壽路,99
15181,安康路,99
10116,中正路,6
10116,重慶南路,6
17570,崁頂三路,140
17570,崁頂三路,140
17570,崁頂三路,140
17570,崁頂三路,140
17570,崁頂三路,140
17570,崁頂三路,140
10753,北深路,9
10753,木柵路,9
10753,試院路,9
10753,木柵路,9
10753,景文街,9
10753,景福街,9
10173,中和路,99
10161,員山路,58
10325,八德路,80
10325,敦化南路,80
10325,基隆路,80
10173,中和路,99
10753,景福街,9
15181,安和路,99
15181,景新街,99
15181,中正路,99
15181,永和路,99
15181,重慶南路,99
10173,中和路,99
17700,中央路,99
17700,承天路,99
10511,重新路,36
16668,和平路,144
16668,中山二路,144
16668,中山一路,144
16789,文昌路,99
16789,文昌路,99
10511,重新路,36
10772,興南路,43
10772,華新街,43
10772,忠孝街,43
10772,四維街,43
10772,景新街,43
10772,中正路,43
10772,福和路,43
10772,竹林路,43
10772,永和路,43
10772,福州街,43
10772,杭州南路,43
10772,仁愛路,43
10772,杭州南路,43
10511,民生西路,36
10511,重慶北路,36
10511,中山路,36
17832,直潭路,99
17832,直潭路,99
17832,永業路,99
17832,永業路,99
10511,中山路,36
10511,樹新路,36
10511,民安西路,36
10511,民安路,36
10511,富國路,36
10511,四維路,36
10511,後港一路,36
10511,建福路,36
10511,中正路,36
10492,重新路,56
17832,下石厝路,99
17832,下石厝路,99
17832,直潭路,99
17832,直潭路,99
10492,重新路,56
10492,民權東路,56
10492,林森北路,56
10492,民生東路,56
10492,建國北路,56
10492,復興北路,56
10492,南京東路,56
10492,建國北路,56
10492,民生東路,56
10492,林森北路,56
10492,民權西路,56
10492,民權西路上近大龍街,56
10492,重新路,56
10492,中正路,56
10511,南京西路,36
10511,民生西路,36
10511,後港一路,36
10511,民安路,36
10511,民安西路,36
10772,永和路,43
10772,中正路,43
10772,忠孝街,43
10772,華新街,43
10511,涼州路,36
10511,重慶北路,36
10511,重慶北路三段+昌吉街,36
10511,民族西路,36
10511,承德路,36
10492,重新路,56
10492,民義路,56
10772,興南路,43
10453,工商路,120
10784,建國路,99
10784,建國路,99
10784,北新路,99
10784,北新路,99
10784,羅斯福路,99
10784,羅斯福路,99
10784,興隆路,99
10784,興隆路,99
10492,中正路,56
10753,景福街,9
10753,景中街,9
10753,景興街,9
10491,民義路,58
10491,工商路,58
10491,成泰路,58
10453,中正北路,120
10453,中興路,120
10453,工商路,120
10453,民義路,120
16486,萬壽路,99
16581,石門路,146
16461,永貞路,60
16461,永貞路,60
16461,永貞路,60
16461,永貞路,60
16668,集賢路,144
16668,中山ㄧ路,144
16668,中山二路,144
10492,民義路,56
10492,工商路,56
10492,成泰路,56
10492,明志路,56
10492,成泰路,56
10492,工商路,56
10492,民義路,56
10492,明志路,56
10753,木柵路,9
16679,自強路,99
16679,自強路,99
16679,自強路,99
16679,自強路,99
16679,瑪鍊路,99
16679,瑪鍊路,99
16679,瑪鍊路,99
16679,瑪鍊路,99
16668,和平路,144
16668,長榮路,144
16668,中原路,144
16668,中興路,144
16668,工商路,144
16668,五福路,144
16668,工商路,144
16668,成泰路,144
10753,木柵路,9
10753,北深路,9
10753,翠谷街,9
10753,北深路,9
10753,八分寮路,9
10753,雙溪路,9
17668,景平路,100
17668,景平路,100
17668,復興路,100
17668,復興路,100
10753,八分寮路,9
16668,中原路,144
10511,中正路,36
10753,石崁路,9
10753,北深路,9
16668,長榮路,144
16486,萬壽路,99
16676,瑪鍊路,99
16676,瑪鍊路,99
16676,瑪鍊路,99
16676,瑪鍊路,99
16676,瑪鍊路,99
16676,瑪鍊路,99
16676,瑪鍊路,99
16676,瑪鍊路,99
16676,瑪鍊路,99
16676,瑪鍊路,99
16479,民安東路,170
10492,明志路,56
10492,中正路,56
16668,中興路,144
10492,中正路,56
10492,中正路上近登龍街,56
10492,中正路,56
10492,重新路,56
10491,成泰路,58
10491,工商路,58
10491,民義路,58
10511,民安西路,36
10511,新樹路,36
10511,樹新路,36
10325,玫瑰路,80
10511,中山路,36
10491,明志路,58
10772,館前路,43
10772,開封街,43
10772,中華路,43
16630,淡金路,6
16630,中正東路,6
10474,民權西路,52
10474,民權西路上近大龍街,52
10474,重新路,52
10474,中正路,52
10161,員山路,58
16393,羅斯福路,126
10171,萬大路,6
10511,樹新路,36
10151,復興路,75
10161,雙十路,58
16243,中央路,39
10195,介壽路,74
16594,中正路,70
10511,中正路,36
10511,中正路上近登龍街,36
10511,中正路,36
10161,雙十路,58
10474,中正路,52
10474,新北市新莊區中正路,52
10474,中正路,52
10474,萬壽路,52
10325,中正路,80
10325,復興路,80
10325,中正路,80
10325,民權路,80
10325,建國路,80
10325,民族路,80
10325,三民路,80
15638,康寧街,23
15638,康寧路,23
17865,安一路,21
17865,安一路,21
17865,基金一路,21
17865,基金一路,21
17865,金一路,21
17865,金一路,21
17865,基金一路,21
17865,基金一路,21
17865,基金二路,21
17865,基金二路,21
17865,基金三路,21
17865,基金三路,21
17865,景美路,21
17865,景美路,21
10491,成泰路,58
10491,明志路,58
10325,三民路,80
10325,中華路,80
10325,北新路,80
10325,安康路,80
10491,明志路,58
10491,中正路,58
10491,重新路,58
10491,康定路,58
10491,貴陽街,58
10784,興隆路,99
10784,興隆路,99
10475,中華路,53
10475,博愛路,53
10475,開封街,53
10475,中華路,53
10475,成都路,53
10475,成功路,53
10475,重新路,53
10475,中正路,53
10475,寶慶路,53
10475,中正路,53
10475,萬壽路,53
10474,萬壽路,52
10474,中正路,52
10474,新北市新莊區中正路,52
10474,中正路,52
10196,金城路,130
10453,民義路,120
10453,工商路,120
10453,中興路,120
10784,羅斯福路,99
10784,羅斯福路,99
10784,北新路,99
10784,北新路,99
10784,民權路,99
10784,民權路,99
10784,中正路,99
10784,中正路,99
10784,中央路,99
10784,中央路,99
10784,溪園路,99
10784,溪園路,99
10511,民權西路,36
10511,民權西路上近大龍街,36
10511,重新路,36
10474,中正路,52
10511,民安西路,36
10453,中興路,120
10453,中正北路,120
10453,三民街,120
10453,重陽路,120
10511,建福路,36
10453,重慶南路,120
10453,襄陽路,120
10453,博愛路,120
10453,開封街,120
10453,中華路,120
10453,成都路,120
10453,重陽路,120
10453,三民路,120
10453,中正北路,120
10492,中正路,56
10492,明志路,56
10195,西園路,74
10491,成功路,58
10491,重新路,58
10491,中正路,58
10492,明志路,56
10492,成泰路,56
10491,中正路,58
10491,明志路,58
10491,成功路,58
10784,溪園路,99
10784,溪園路,99
10784,復興路,99
10784,復興路,99
10491,明志路,58
10491,成泰路,58
17865,安一路,21
17865,安一路,21
10164,漢生東路,112
10196,學勤路,130
5415,康寧街,42
10329,安康路,90
10424,民權東路,112
10424,民權西路,112
10424,民權西路上近大龍街,112
10424,重新路,112
10424,化成路,112
10424,五工一路,112
10424,五權路,112
10424,五工路,112
10475,萬壽路,53
10475,中正路,53
10475,新北市新莊區中正路,53
10475,中正路,53
10475,重新路,53
10475,成功路,53
10475,康定路,53
10162,國慶路,99
10475,萬壽路,53
10475,中正路,53
10475,中正路上近登龍街,53
10492,中正路,56
10492,重新路,56
10492,中正路,56
15181,安康路,99
10753,木柵路,9
16535,中山北路,3
10732,興隆路,46
10732,興隆路,46
10492,重新路,56
16730,工商路,2
16397,後洲路,40
16710,路,2
10195,大學路,74
10196,大學路,130
11244,萬大路,90
11244,康定路,90
11244,集成路,90
11244,集美街,90
11244,重新路,90
17671,中山路,16
17671,中山路,16
17671,文化三路,16
17671,文化三路,16
16612,新烏路,71
10511,新樹路,36
11244,重新路,90
11244,正義北路,90
11244,三和路,90
11244,龍門路,90
16682,美灩山街,34
16682,美灩山街,34
11244,自強路,90
11244,五華街,90
10151,保安街,75
16790,中正東路,99
16790,中正東路,99
16730,自強路,2
16682,研海街,34
16682,研海街,34
15638,康寧街,23
15638,東湖路,23
15638,康寧路,23
15638,成功路,23
15638,成功路街,23
15638,成功路,23
17530,中正東路,4
17530,中正東路,4
17530,中正東路,4
17530,中正東路,4
16903,中山路,99
16903,中山路,99
16903,中山路,99
16903,大安路,99
16903,大安路,99
16903,大安路,99
16903,中山路,99
16903,中山路,99
16903,中山路,99
16606,育樂街,70
16606,鶯桃路,70
16606,鶯歌路,70
16606,永和街,70
16606,鶯桃路,70
16606,永明街,70
16606,育樂街,70
16606,光明街,70
16606,仁愛路,70
16606,國慶路,70
16123,開封街,115
16123,民大道三段99、101號路,115
16576,新興街,5
16573,新興街,18
16576,新興街,5
15638,康寧街,23
17671,文化三路,16
17671,文化三路,16
17671,重慶北路,16
17671,重慶北路,16
17671,民族西路,16
17671,民族西路,16
17671,承德路,16
17671,承德路,16
17671,酒泉街,16
17671,酒泉街,16
16522,沙崙路,4
16522,沙崙路,4
11244,五華街,90
11244,自強路,90
11244,龍門路,90
11244,正義北路,90
11244,重新路,90
10325,玫瑰路,80
15638,康寧街,23
15638,伯爵街,23
15638,樟樹二路,23
11244,康定路,90
11244,萬大路,90
16432,新興街,54
16432,新興街,54
16432,新興街,54
15638,樟樹二路,23
15638,工建路,23
16606,文化路,70
16606,中正一路,70
16606,仁愛路,70
16606,中山路,70
16606,光明街,70
15638,成功路,23
15638,康寧路,23
15638,東湖路,23
15638,康寧街,23
17575,頂社路,32
17575,頂社路,32
17575,頂社路,32
17575,頂社路,32
17575,港東路,32
17575,港東路,32
17575,港東路,32
17575,港東路,32
10151,康定路,75
16620,自強路,8
16620,登林路,8
16620,水碓路,8
10329,敦化南路,90
10329,基隆路,90
10329,基隆路三段+長興街,90
10329,基隆路,90
10329,中正路,90
10329,復興路,90
10329,中正路,90
10329,中央路,90
10329,環河路,90
10329,安康路,90
10163,裕民路,99
10163,中央路,99
10163,四川路,99
10163,館前東路,99
10163,文化路,99
10281,中正路,150
10173,連城路,99
10173,景安路,99
10173,南山路,99
10173,興南路,99
10173,景平路,99
10173,成功路,99
10173,秀朗路,99
10173,成功路,99
10173,永元路,99
10173,水利路,99
10173,永利路,99
10173,竹林路,99
10151,保安街,75
10148,中山路,80
10173,永和路,99
10173,重慶南路,99
10173,南昌路,99
10173,博愛路,99
10173,重慶南路,99
10173,襄陽路,99
10163,文化路,99
10163,和平西路,99
10163,南寧路,99
10163,中華路,99
10163,寶慶路,99
10163,博愛路,99
10163,襄陽路,99
10163,公園路,99
10163,公園路與常德街,99
10163,貴陽街,99
10163,中華路,99
10163,南寧路,99
10163,和平西路,99
10163,文化路,99
10163,四川路,99
10163,中央路,99
10163,裕民路,99
10163,學府路,99
10163,青雲路,99
16288,鄧公路,120
17914,興南路,99
17914,興南路,99
10329,安康路,90
16485,泰林路,25
10195,中華路,74
10195,中央路,74
17994,瑪鍊路,13
17994,瑪鍊路,13
17994,基金一路,13
17994,基金一路,13
17994,麥金路,13
17994,麥金路,13
17994,成功路,13
17994,成功路,13
10329,安康路,90
10329,環河路,90
10329,力行路,90
10329,中央路,90
10329,中正路,90
18041,安和路,30
18041,安和路,30
10164,國慶路,112
10164,信義路,112
16123,德光路,115
10143,木新路,156
10753,景文街,9
5415,東湖路,42
15181,光復北路,99
10453,中興路,120
5415,康寧街,42
5415,明峰街,42
5415,中興路,42
5415,大同路,42
5416,大同路,15
5416,忠孝東路,15
5416,茄苳路,15
5416,新台五路,15
10162,南寧路,99
10162,中華路,99
10162,寶慶路,99
10162,博愛路,99
10162,重慶南路,99
10162,襄陽路,99
10162,公園路,99
10162,公園路與常德街,99
16620,水碓路,8
16620,登林路,8
16620,自強路,8
10325,安康路,80
15181,金山南路,99
15717,安康路,61
16113,中華路,90
16113,南寧路,90
16113,和平西路,90
16113,長江路,90
16113,新海路,90
16113,英士路,90
16113,智樂街,90
10424,民權西路,112
10424,五權路,112
10453,工商路,120
16464,民生路,108
10772,忠孝街,43
10492,工商路,56
10753,木柵路,9
5416,新台五路,15
5416,大同路,15
5416,南港路,15
10162,文化路,99
10162,政府西側門外(新府路,99
10162,中山路,99
10453,成功路,120
10772,中華路,43
10491,重新路,58
10453,成功路,120
10491,成泰路,58
10491,寶慶路,58
16620,水碓二路,8
16620,自強路,8
10196,三樹路,130
10196,愛國西路,130
10162,中山路,99
10162,四川路,99
10162,忠孝路,99
10162,重慶路,99
10162,和平路,99
10162,信義路,99
10162,青雲路,99
10164,文化路,112
17868,民義路,26
5415,大同路,42
5415,中興路,42
10173,公園路,99
10173,公園路與常德街,99
10173,公園路,99
10173,南昌路,99
5416,新台五路,15
17700,中央路,99
10173,永利路,99
10173,永元路,99
10173,得和路,99
10173,成功路,99
10173,秀朗路,99
10173,成功路,99
10173,景平路,99
10173,興南路,99
10173,南山路,99
10173,南三路,99
10173,竹林路,99
10173,中和路,99
10173,連城路,99
10163,青雲路,99
10163,石門路,99
10164,青雲路,112
10164,明德路,112
10164,立德路,112
5416,新台五路,15
5416,茄苳路,15
5416,忠孝東路,15
5416,大同路,15
10162,石門路,99
17518,新樹路,15
17518,新樹路,15
17518,新樹路,15
16479,新樹路,170
10164,青雲路,112
10164,信義路,112
